Kraftverksnavn;År idriftsatt;Installert effekt tot. [MW];Hovedeier;Hovedeier organisasjonsnummer;Fylke(r);Kommune(r);Midlere årsproduksjon [GWh];Gj.snitt generatorytelse [MW];Gj.snitt navhøyde [m];Gj.snitt rotordiameter [m];Energi per sveipt areal [kWh/m^2];Ant. operative turbiner
Bessakerfjellet;2007;57,5;MIDGARD VIND AS;921894066;Trøndelag;Åfjord;175;2,3;64;71;1768;25;
Bjerkreim;2019;155,4;BJERKREIM VIND AS;988034347;Rogaland;Bjerkreim;558,4;4,2;125;130;1137;37;
Egersund;2017;112,2;NORSK VIND EGERSUND AS;994583085;Rogaland;Eigersund;370;3,4;93;114;1098,5;33;
Fakken ;2012;54;TROMS KRAFT PRODUKSJON AS;979152116;Troms og Finnmark Romsa ja Finnmárku;Karlsøy;139;3;80;90;1213,9;18;
Frøya;2020;8,4;FRØYA VIND AS;921886098;Trøndelag;Frøya;28,05;4,2;112;136;965,5;2;
Geitfjellet;2020;151,2;FOSEN VIND DA;916456077;Trøndelag;Heim, Orkland;457,2;4,2;87;136;874,3;36;
Guleslettene;2020;54,6;GULESLETTENE VINDKRAFT AS;992528346;Vestland;Kinn, Bremanger;190,82;4,2;90;136;1010,4;13;
Hamnefjell;2017;51,75;HAMNEFJELL VINDKRAFT AS;999177638;Troms og Finnmark Romsa ja Finnmárku;Båtsfjord;186;3,45;84;112;1258,6;15;
Harbaksfjellet;2020;58,8;FOSEN VIND DA;916456077;Trøndelag;Åfjord;221,2;4,2;87;117;1469,6;14;
Havøygavlen;2002;40,5;ARCTIC WIND AS;979331622;Troms og Finnmark Romsa ja Finnmárku;Måsøy;100;2,5311999999999997;80;81,3;1204;16;
Hennøy;2019;50,4;FALCK RENEWABLES VIND AS;989074687;Vestland;Bremanger;170,7;4,2;82;136;979,2;12;
Hitra ;2004;55,2;HITRA VIND AS;985129177;Trøndelag;Hitra;138;2,3;n/a;n/a;n/a;24;
Hitra 2;2019;93,6;FOSEN VIND DA;916456077;Trøndelag;Hitra;289,9;3,6;87;117;1037,1;26;
Hundhammerfjellet ;1998;55;HUNDHAMMERFJELLET AS;921891628;Trøndelag;Nærøysund;211,06;3,9286;86,3;126,7;1780,7;14;
Høg-Jæren;2011;73,6;JÆREN ENERGI AS;982943485;Rogaland;Hå, Time;222,08;2,3;80;93;1021,7;32;
Karmøy Hywind;2009;2,3;UNITECH OFFSHORE AS;966528591;Rogaland;Karmøy;8;2,3;70;82;1514,9;1;
